nEvt,trueE,nPi0,nPiCh,nShowers,maxShowerLength,maxOpenAngle,nTracks,maxTrackLength,nStubs
83,1.00412,0,2,2,20.5185,0.297267,4,40.1629,2
84,0.717528,0,1,2,14.8801,0.163363,2,83.2169,2
85,2.5484,0,1,0,0,0,4,141.649,1
86,1.09188,2,0,1,2.46524,0.205262,3,80.086,6
87,2.6301,1,1,2,76.4193,0.130206,4,155.385,4
88,4.37897,1,1,2,144.054,0.669545,2,354.298,4
89,0.734498,1,0,3,61.6491,0.809903,2,42.8964,2
90,3.37941,1,1,3,107.58,0.151106,2,76.222,1
91,1.86207,0,0,0,0,0,3,107.501,3
92,1.00366,1,1,1,40.4008,0.0346762,3,22.9651,3
93,4.82217,0,1,0,0,0,2,8.41112,2
94,1.37593,2,0,4,70.0332,0.347203,3,156.287,12
95,0.79141,0,1,1,8.90297,0.256491,1,144.413,3
96,1.88332,3,1,2,35.9532,0.39104,1,204.628,0
97,1.2331,0,0,0,0,0,3,114.504,3
98,1.89432,2,0,3,85.0563,0.16024,2,51.3179,1
99,1.56517,0,0,0,0,0,5,146.114,10
100,1.3499,2,0,3,94.6863,0.150573,2,38.7476,1
1,1.42246,0,1,1,8.93939,0.0734603,3,186.661,2
2,1.21143,1,2,4,33.9822,0.413441,0,0,4
3,1.77021,1,0,2,71.9307,0.300324,2,108.523,6
4,1.79458,0,1,0,0,0,2,59.8528,1
5,1.04193,0,2,2,11.3119,0.236202,3,89.0767,6
6,3.02781,0,3,3,59.8766,0.284698,1,525.227,3
7,0.776914,0,0,0,0,0,2,133.734,3
8,1.3551,0,2,1,11.133,0.105268,3,148.339,5
9,0.777699,0,2,0,0,0,1,97.1731,4
10,1.46992,2,2,3,40.961,0.362908,4,44.2968,14
11,3.10375,1,1,4,35.2377,0.676872,3,75.4185,3
12,4.15773,2,3,3,95.5856,0.327863,4,200.412,0
13,2.39268,1,0,2,97.9733,0.0774119,2,155.45,3
14,3.7076,0,0,3,158.131,0.289133,0,0,2
15,2.26764,0,2,2,62.0651,0.651033,0,0,3
16,3.88805,0,0,5,91.0456,0.327545,3,371.265,2
17,2.22582,0,2,1,9.69908,0.194013,6,154.538,3
18,1.84876,3,0,2,14.4225,0.199568,2,98.338,1
19,1.75344,0,2,2,1.87629,0.274921,5,210.022,3
20,1.55137,0,3,2,10.6702,0.906964,4,49.1317,3
21,1.3512,1,1,3,78.7624,0.220411,2,36.29,4
22,1.38295,0,1,1,33.4278,0.170751,2,204.586,3
23,4.55939,0,6,5,16.3358,0.571423,5,348.464,13
24,1.67059,0,2,0,0,0,4,198.217,1
25,0.973053,0,1,0,0,0,3,78.177,1
26,2.29208,3,1,5,37.8715,0.216379,2,54.9307,4
27,1.29081,0,0,0,0,0,2,33.9158,1
28,1.65127,0,2,0,0,0,6,158.562,3
29,3.69354,3,0,4,54.4701,1.12001,4,38.2976,8
30,2.09751,0,1,0,0,0,4,143.839,1
31,1.39205,0,1,2,2.08876,0.507924,3,103.898,8
32,0.58361,0,1,2,27.652,0.287816,1,52.3383,2
33,3.20421,1,2,2,26.311,0.445412,4,88.7587,11
34,1.53661,0,1,0,0,0,2,93.0349,1
35,2.81459,0,3,0,0,0,3,33.0812,4
36,1.18701,1,1,3,92.3104,0.106319,2,43.6375,3
37,1.25367,1,0,2,23.7447,0.199914,3,82.889,3
38,1.51461,0,2,2,13.6631,0.567187,1,76.6856,4
39,4.52344,1,2,3,44.7889,0.350888,1,68.3526,6
40,3.63207,1,0,5,13.8363,0.616111,2,157.558,1
41,5.00354,2,4,6,42.368,0.278883,4,90.5294,1
42,1.72651,0,0,2,9.57155,0.557732,2,129.208,3
43,1.65393,0,1,1,12.4964,0.121361,5,131.352,3
44,1.12042,0,1,1,5.83527,0.912547,2,274.523,2
45,1.26206,0,0,0,0,0,2,26.2569,2
46,1.9041,1,1,2,9.52596,0.130043,2,13.8722,1
47,1.3376,0,1,1,6.79262,0.494661,2,146.048,3
48,1.21565,0,2,0,0,0,2,75.6189,0
49,1.02364,0,0,0,0,0,3,65.6107,2
50,1.41495,2,0,2,107.383,0.111243,2,52.6376,6
51,0.9844,0,1,0,0,0,2,64.1228,0
52,5.66744,1,1,3,135.877,0.362369,2,220.635,1
53,1.17648,0,0,0,0,0,2,52.0653,1
54,1.37331,0,0,0,0,0,2,243.477,3
55,3.95009,1,0,2,51.1945,0.474474,3,424.981,2
56,2.13199,0,2,2,5.86331,0.371783,1,284.904,4
57,1.47427,0,1,0,0,0,4,20.1356,11
58,3.32377,1,3,0,0,0,4,19.2558,2
59,0.9415,1,0,1,78.0205,0.0681382,0,0,2
60,1.83786,2,0,3,44.3273,0.337085,4,346.962,6
61,3.22289,0,1,0,0,0,5,64.0598,2
62,1.56643,1,0,2,31.8939,0.116671,4,219.657,1
63,1.14112,2,0,2,146.472,0.216373,1,5.25919,2
64,1.10358,1,1,2,121.348,0.628828,2,101.965,4
65,3.38785,2,0,2,104.475,0.171722,1,137.829,6
66,5.09046,2,5,4,149.078,0.494673,1,295.782,18
67,0.785271,0,0,0,0,0,2,35.9893,3
68,1.57048,0,1,1,21.1188,0.172852,1,41.6605,3
69,3.53915,4,2,5,9.82259,0.797554,2,80.4366,4
70,2.12731,1,0,0,0,0,5,52.6774,8
71,2.27205,1,0,3,103.767,0.109187,2,392.102,4
72,1.2488,1,1,3,51.3835,0.136427,2,93.2836,0
73,2.66988,0,1,0,0,0,6,233.728,4
74,1.64239,1,1,4,50.8733,0.486957,3,76.6731,4
75,1.02759,0,0,0,0,0,2,7.48275,2
76,1.22729,0,1,2,5.06427,0.230978,2,51.7599,2
77,1.71968,0,0,2,5.2166,0.187154,1,232.012,8
78,0.507969,1,0,3,73.3432,0.277263,1,10.9262,1
79,0.768114,1,0,1,58.0076,0.0278045,2,26.7666,2
80,3.66207,0,1,0,0,0,4,272.504,2
81,2.28482,1,2,4,35.371,0.159892,4,164.385,1
82,1.32846,1,1,3,8.57614,0.577413,4,135.863,2
83,1.45107,1,1,3,48.7629,0.0973502,3,142.854,5
84,1.03781,0,0,1,7.55443,0.071454,3,83.6015,4
85,1.38958,0,2,2,10.1406,0.152022,4,68.7696,5
86,2.5594,0,4,3,16.442,1.18667,4,173.847,7
87,1.18422,0,2,0,0,0,3,54.3891,3
88,1.5532,2,2,3,108.4,0.520655,3,121.786,6
89,1.53583,0,1,1,8.07716,0.399992,2,197.203,7
90,3.45677,0,2,0,0,0,6,379.882,1
91,2.10081,0,2,1,26.9508,0.148056,2,50.4065,5
92,1.17682,1,1,3,76.0625,0.227645,4,159.651,2
93,2.2067,0,1,1,20.4726,0.0507877,5,393.109,7
94,1.41507,1,0,3,58.004,0.171128,2,125.719,0
95,2.71205,0,0,0,0,0,3,28.3547,4
96,3.08595,1,1,1,130.332,0.128716,2,348.755,2
97,0.74079,0,1,0,0,0,1,54.2842,0
98,1.07375,0,0,0,0,0,0,0,0
99,3.71999,0,3,1,29.5176,0.630826,1,86.5921,1
100,1.63755,0,2,4,15.2204,0.364685,5,119.137,8
1,1.75084,0,2,6,14.6466,0.349445,2,23.0895,1
2,4.23709,4,6,7,65.0909,0.651872,1,8.18506,11
3,1.48018,1,1,3,44.862,0.301042,3,58.7686,2
4,2.50709,0,3,2,28.8813,0.122973,4,111.863,3
5,2.56816,1,0,1,48.0621,0.189148,1,6.46043,1
6,1.04147,0,1,0,0,0,1,84.124,1
7,1.26377,1,0,2,43.5544,0.150296,4,38.5613,6
8,0.923677,0,0,2,10.8168,0.156173,4,100.779,5
9,3.49722,2,1,2,54.6679,0.514561,2,180.908,2
10,1.44161,1,1,3,46.1846,0.159589,3,49.9391,4
11,1.53857,1,1,1,85.9139,0.266356,2,108.38,1
12,0.588851,1,1,5,16.1033,0.683165,3,10.7827,6
13,5.61037,0,6,1,3.77081,0.117344,9,399.597,12
14,2.69491,0,1,2,124.985,0.279698,3,64.7398,5
15,1.32714,1,1,3,11.7474,0.256134,4,119.805,5
16,3.18908,0,1,1,48.2064,0.124874,3,329.762,0
17,1.92544,1,2,3,50.1021,0.242213,4,102.907,7
18,2.66525,0,0,2,13.4335,0.912761,4,45.8272,8
19,1.32812,0,1,0,0,0,4,92.6129,5
20,1.78863,0,2,1,9.2073,0.395574,3,142.855,3
21,0.73397,0,0,0,0,0,0,0,0
22,1.60527,1,0,1,4.95,0.315535,1,8.93099,1
23,2.18024,1,0,2,5.19314,0.450728,4,196.812,8
24,1.3439,0,1,1,4.15512,0.212523,4,131.444,6
